,Unnamed:,0,x,y
0,0,0,28.136519,39.35865
1,1,1,44.642131,58.21426999999999
2,2,2,34.921628999999996,42.039109
3,3,3,31.034296,38.283153000000006
4,4,4,36.419871,65.971441
5,5,5,47.75339,32.368487
6,6,6,17.547226000000002,61.427741000000005
7,7,7,51.042229999999996,54.128275
8,8,8,52.381296999999996,58.634855
9,9,9,48.603322999999996,31.903506
10,10,10,23.617035,53.454882
11,11,11,30.820994,74.30499
12,12,12,56.469151000000004,42.933859000000005
13,13,13,64.155852,49.071143
14,14,14,9.454737,63.815709
15,15,15,43.196988,64.47758499999999
16,16,16,41.953967,69.860938
17,17,17,62.048784,54.023277
18,18,18,41.040147999999995,53.347365
19,19,19,40.687668,42.136996
20,20,20,24.733567999999998,47.016830999999996
21,21,21,37.834816,33.076629
22,22,22,56.627763,59.30595
23,23,23,16.595418,60.329871999999995
24,24,24,42.683366,48.364455
25,25,25,43.329045,67.829819
26,26,26,24.879793,57.45816899999999
27,27,27,37.371988,46.554562
28,28,28,48.192002,69.054392
29,29,29,19.699196,49.575103000000006
30,30,30,40.853815999999995,91.58397
31,31,31,34.304969,46.598721999999995
32,32,32,36.013453000000005,51.356488
33,33,33,44.796056,72.130341
34,34,34,45.785978,42.82124
35,35,35,47.270655,55.942098
36,36,36,26.012582000000002,37.555196
37,37,37,55.127476,27.758556
38,38,38,32.28686,40.379173
39,39,39,57.36246800000001,65.56403
40,40,40,28.763585,56.980033
41,41,41,41.047112,48.503444
42,42,42,39.995061,40.605599
43,43,43,29.848896000000003,59.003859999999996
44,44,44,43.947487,32.934433
45,45,45,31.520639000000003,53.657532999999994
46,46,46,48.721878000000004,39.673877000000005
47,47,47,14.942793,33.6964
48,48,48,23.328012,48.188132
49,49,49,44.432444,37.671211
50,50,50,67.351529,54.811094999999995
51,51,51,43.520199,59.829705000000004
52,52,52,54.820026,43.981639
53,53,53,37.866082,68.186104
54,54,54,39.593818,47.838463
55,55,55,13.420338000000001,52.269809
56,56,56,45.520644,55.989906999999995
57,57,57,34.86497,56.706993000000004
58,58,58,19.558492,34.401637
59,59,59,50.87066,27.809333000000002
60,60,60,12.982078,48.313660999999996
61,61,61,29.268907000000002,55.336695
62,62,62,53.125831999999996,43.499219000000004
63,63,63,38.610996,38.849585
64,64,64,32.583589,50.097232
65,65,65,49.788371999999995,42.65573
66,66,66,34.544540999999995,46.34048
67,67,67,48.248293,50.826519
68,68,68,49.192733000000004,45.180403999999996
69,69,69,28.989064000000003,52.022068
70,70,70,36.70436,51.028902
71,71,71,42.321740000000005,59.67570799999999
72,72,72,15.629126999999999,41.191221
73,73,73,35.465078999999996,38.019493
74,74,74,42.623191,58.286242
75,75,75,31.542662,57.318192
76,76,76,42.428101,51.995284999999996
77,77,77,35.105032,83.52154300000001
78,78,78,70.374641,54.29919
79,79,79,44.907565999999996,55.375446999999994
80,80,80,47.424933,71.361426
81,81,81,25.179717,52.321176
82,82,82,29.642742,73.001469
83,83,83,27.544506,40.301829
84,84,84,34.889641,60.649328000000004
85,85,85,34.622367,62.890052000000004
86,86,86,43.186919,50.152642
87,87,87,39.261299,49.775464
88,88,88,22.929029999999997,56.128364000000005
89,89,89,53.836957999999996,51.513517
90,90,90,23.148626,45.192079
91,91,91,43.733706,39.749784999999996
92,92,92,45.674761,56.074788
93,93,93,35.610444,46.359018
94,94,94,33.640627,57.73210400000001
95,95,95,41.871190999999996,38.085057
96,96,96,23.139546,33.46286
97,97,97,62.363011,32.748376
98,98,98,47.591493,43.950146000000004
99,99,99,50.585855,38.032717
100,100,100,32.559563,38.062652
101,101,101,37.886447,38.879463
102,102,102,25.424901000000002,52.037207
103,103,103,12.140283,49.472335
104,104,104,36.746027000000005,45.152576
105,105,105,37.240041999999995,44.686543
106,106,106,38.223890000000004,46.936212
107,107,107,49.506938,52.694238
108,108,108,13.276994,66.889447
109,109,109,35.783726,59.075148999999996
110,110,110,42.866437,40.217512
111,111,111,53.191097,55.040411999999996
112,112,112,40.481834,60.928329000000005
113,113,113,26.720607,57.93472
114,114,114,32.79574,60.819151
115,115,115,54.059796999999996,43.245782
116,116,116,46.975214,42.791117
117,117,117,28.516596000000003,49.804009
118,118,118,51.613996,46.373568
119,119,119,37.275527000000004,35.579857000000004
120,120,120,45.816435,39.162419
121,121,121,52.123056,48.745043
122,122,122,31.505646999999996,60.205040000000004
123,123,123,48.397795,74.333241
124,124,124,51.093962,67.942026
125,125,125,47.303389,41.925318
126,126,126,41.801701,49.425353
127,127,127,24.902556,43.474562
128,128,128,36.630162,48.20814
129,129,129,27.439237,61.591609
130,130,130,36.135496999999994,47.921437
131,131,131,57.006859,58.584952
132,132,132,48.139165999999996,55.496697
133,133,133,68.218529,58.10175600000001
134,134,134,11.281369999999999,43.001582
135,135,135,39.012545,57.08984399999999
136,136,136,45.974561,38.416825
137,137,137,23.366221,73.105325
138,138,138,44.935294,36.146854
139,139,139,41.605244,55.078584
140,140,140,42.938782,56.375477000000004
141,141,141,23.077528,47.315459999999995
142,142,142,31.743574,24.725524
143,143,143,46.831881,55.272760999999996
144,144,144,48.909637,26.470273
145,145,145,32.938795,66.52292800000001
146,146,146,58.713756000000004,54.407422
147,147,147,14.144654999999998,59.294964
148,148,148,18.174574,61.278213
149,149,149,65.724624,68.466441
150,150,150,24.320338,43.528896
151,151,151,29.437388000000002,25.540881
152,152,152,61.327573,50.429149
153,153,153,57.319853,51.420725
154,154,154,36.826571,42.118934
155,155,155,33.653684000000005,56.546769
156,156,156,37.882616999999996,35.625491
157,157,157,26.214337,77.873067
158,158,158,26.344378000000003,68.816694
159,159,159,48.709373,57.061356
160,160,160,43.282092999999996,82.946057
161,161,161,50.281211,60.633662
162,162,162,36.197624,6.879546
163,163,163,40.692839,47.168013
164,164,164,49.954119,77.321272
165,165,165,59.334377,51.965276
