,date,city,country,avg_temp_c
0,2000-01-01,Abidjan Côte D'Ivoire,27.293
1,2000-02-01,Abidjan Côte D'Ivoire,27.685
2,2000-03-01,Abidjan Côte D'Ivoire,29.061
3,2000-04-01,Abidjan Côte D'Ivoire,28.162
4,2000-05-01,Abidjan Côte D'Ivoire,27.547
5,2000-06-01,Abidjan Côte D'Ivoire,25.812
6,2000-07-01,Abidjan Côte D'Ivoire,24.870
7,2000-08-01,Abidjan Côte D'Ivoire,24.884
8,2000-09-01,Abidjan Côte D'Ivoire,25.405
9,2000-10-01,Abidjan Côte D'Ivoire,26.074
10,2000-11-01,Abidjan Côte D'Ivoire,27.315
11,2000-12-01,Abidjan Côte D'Ivoire,26.929
12,2001-01-01,Abidjan Côte D'Ivoire,26.920
13,2001-02-01,Abidjan Côte D'Ivoire,28.234
14,2001-03-01,Abidjan Côte D'Ivoire,28.706
15,2001-04-01,Abidjan Côte D'Ivoire,27.702
16,2001-05-01,Abidjan Côte D'Ivoire,27.653
17,2001-06-01,Abidjan Côte D'Ivoire,25.940
18,2001-07-01,Abidjan Côte D'Ivoire,24.841
19,2001-08-01,Abidjan Côte D'Ivoire,24.280
20,2001-09-01,Abidjan Côte D'Ivoire,24.797
21,2001-10-01,Abidjan Côte D'Ivoire,26.278
22,2001-11-01,Abidjan Côte D'Ivoire,27.374
23,2001-12-01,Abidjan Côte D'Ivoire,27.598
24,2002-01-01,Abidjan Côte D'Ivoire,27.192
25,2002-02-01,Abidjan Côte D'Ivoire,28.796
26,2002-03-01,Abidjan Côte D'Ivoire,28.564
27,2002-04-01,Abidjan Côte D'Ivoire,28.508
28,2002-05-01,Abidjan Côte D'Ivoire,27.721
29,2002-06-01,Abidjan Côte D'Ivoire,25.972
30,2002-07-01,Abidjan Côte D'Ivoire,25.054
31,2002-08-01,Abidjan Côte D'Ivoire,24.580
32,2002-09-01,Abidjan Côte D'Ivoire,25.260
33,2002-10-01,Abidjan Côte D'Ivoire,26.076
34,2002-11-01,Abidjan Côte D'Ivoire,27.282
35,2002-12-01,Abidjan Côte D'Ivoire,27.087
36,2003-01-01,Abidjan Côte D'Ivoire,27.590
37,2003-02-01,Abidjan Côte D'Ivoire,28.863
38,2003-03-01,Abidjan Côte D'Ivoire,28.980
39,2003-04-01,Abidjan Côte D'Ivoire,28.169
40,2003-05-01,Abidjan Côte D'Ivoire,27.910
41,2003-06-01,Abidjan Côte D'Ivoire,25.993
42,2003-07-01,Abidjan Côte D'Ivoire,25.221
43,2003-08-01,Abidjan Côte D'Ivoire,24.880
44,2003-09-01,Abidjan Côte D'Ivoire,25.737
45,2003-10-01,Abidjan Côte D'Ivoire,26.694
46,2003-11-01,Abidjan Côte D'Ivoire,27.479
47,2003-12-01,Abidjan Côte D'Ivoire,27.092
48,2004-01-01,Abidjan Côte D'Ivoire,27.728
49,2004-02-01,Abidjan Côte D'Ivoire,28.705
50,2004-03-01,Abidjan Côte D'Ivoire,29.288
51,2004-04-01,Abidjan Côte D'Ivoire,28.152
52,2004-05-01,Abidjan Côte D'Ivoire,27.302
53,2004-06-01,Abidjan Côte D'Ivoire,25.712
54,2004-07-01,Abidjan Côte D'Ivoire,24.968
55,2004-08-01,Abidjan Côte D'Ivoire,24.656
56,2004-09-01,Abidjan Côte D'Ivoire,25.810
57,2004-10-01,Abidjan Côte D'Ivoire,26.438
58,2004-11-01,Abidjan Côte D'Ivoire,27.164
59,2004-12-01,Abidjan Côte D'Ivoire,27.909
60,2005-01-01,Abidjan Côte D'Ivoire,26.715
61,2005-02-01,Abidjan Côte D'Ivoire,29.405
62,2005-03-01,Abidjan Côte D'Ivoire,29.246
63,2005-04-01,Abidjan Côte D'Ivoire,28.508
64,2005-05-01,Abidjan Côte D'Ivoire,27.416
65,2005-06-01,Abidjan Côte D'Ivoire,25.772
66,2005-07-01,Abidjan Côte D'Ivoire,24.997
67,2005-08-01,Abidjan Côte D'Ivoire,24.443
68,2005-09-01,Abidjan Côte D'Ivoire,25.804
69,2005-10-01,Abidjan Côte D'Ivoire,26.470
70,2005-11-01,Abidjan Côte D'Ivoire,27.569
71,2005-12-01,Abidjan Côte D'Ivoire,27.374
72,2006-01-01,Abidjan Côte D'Ivoire,27.596
73,2006-02-01,Abidjan Côte D'Ivoire,28.352
74,2006-03-01,Abidjan Côte D'Ivoire,28.431
75,2006-04-01,Abidjan Côte D'Ivoire,28.708
76,2006-05-01,Abidjan Côte D'Ivoire,27.009
77,2006-06-01,Abidjan Côte D'Ivoire,26.588
78,2006-07-01,Abidjan Côte D'Ivoire,25.483
79,2006-08-01,Abidjan Côte D'Ivoire,25.114
80,2006-09-01,Abidjan Côte D'Ivoire,25.408
81,2006-10-01,Abidjan Côte D'Ivoire,26.396
82,2006-11-01,Abidjan Côte D'Ivoire,27.375
83,2006-12-01,Abidjan Côte D'Ivoire,27.397
84,2007-01-01,Abidjan Côte D'Ivoire,27.120
85,2007-02-01,Abidjan Côte D'Ivoire,28.986
86,2007-03-01,Abidjan Côte D'Ivoire,29.106
87,2007-04-01,Abidjan Côte D'Ivoire,28.334
88,2007-05-01,Abidjan Côte D'Ivoire,27.702
89,2007-06-01,Abidjan Côte D'Ivoire,26.134
90,2007-07-01,Abidjan Côte D'Ivoire,25.417
91,2007-08-01,Abidjan Côte D'Ivoire,25.004
92,2007-09-01,Abidjan Côte D'Ivoire,25.606
93,2007-10-01,Abidjan Côte D'Ivoire,26.074
94,2007-11-01,Abidjan Côte D'Ivoire,27.232
95,2007-12-01,Abidjan Côte D'Ivoire,27.367
96,2008-01-01,Abidjan Côte D'Ivoire,26.061
97,2008-02-01,Abidjan Côte D'Ivoire,28.773
98,2008-03-01,Abidjan Côte D'Ivoire,28.819
99,2008-04-01,Abidjan Côte D'Ivoire,28.156
100,2008-05-01,Abidjan Côte D'Ivoire,27.366
101,2008-06-01,Abidjan Côte D'Ivoire,26.276
102,2008-07-01,Abidjan Côte D'Ivoire,25.652
103,2008-08-01,Abidjan Côte D'Ivoire,25.219
104,2008-09-01,Abidjan Côte D'Ivoire,25.557
105,2008-10-01,Abidjan Côte D'Ivoire,26.681
106,2008-11-01,Abidjan Côte D'Ivoire,27.302
107,2008-12-01,Abidjan Côte D'Ivoire,27.472
108,2009-01-01,Abidjan Côte D'Ivoire,26.912
109,2009-02-01,Abidjan Côte D'Ivoire,28.224
110,2009-03-01,Abidjan Côte D'Ivoire,28.805
111,2009-04-01,Abidjan Côte D'Ivoire,28.001
112,2009-05-01,Abidjan Côte D'Ivoire,27.766
113,2009-06-01,Abidjan Côte D'Ivoire,26.655
114,2009-07-01,Abidjan Côte D'Ivoire,25.437
115,2009-08-01,Abidjan Côte D'Ivoire,24.945
116,2009-09-01,Abidjan Côte D'Ivoire,25.568
117,2009-10-01,Abidjan Côte D'Ivoire,26.354
118,2009-11-01,Abidjan Côte D'Ivoire,27.497
119,2009-12-01,Abidjan Côte D'Ivoire,27.620
120,2010-01-01,Abidjan Côte D'Ivoire,28.270
121,2010-02-01,Abidjan Côte D'Ivoire,29.262
122,2010-03-01,Abidjan Côte D'Ivoire,29.596
123,2010-04-01,Abidjan Côte D'Ivoire,29.068
124,2010-05-01,Abidjan Côte D'Ivoire,28.258
125,2010-06-01,Abidjan Côte D'Ivoire,26.683
126,2010-07-01,Abidjan Côte D'Ivoire,25.589
127,2010-08-01,Abidjan Côte D'Ivoire,25.400
128,2010-09-01,Abidjan Côte D'Ivoire,25.710
129,2010-10-01,Abidjan Côte D'Ivoire,26.397
130,2010-11-01,Abidjan Côte D'Ivoire,27.446
131,2010-12-01,Abidjan Côte D'Ivoire,27.666
132,2011-01-01,Abidjan Côte D'Ivoire,27.360
133,2011-02-01,Abidjan Côte D'Ivoire,28.295
